scalerank,natscale,labelrank,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,featureclass
"3","110","8",Zagreb,,,"0",Zagreb,"1","0",,"0","0",Croatia,HRV,Croatia,HRV,Grad Zagreb,HR,,45.8000067333,15.9999946682,"0","0",,"722526","698966","690638","11","11","3186886",,Zagreb,"1","0",Admin-0 capital
"3","110","8",Tallinn,,,"0",Tallinn,"1","0",,"0","0",Estonia,EST,Estonia,EST,Harju,EE,,59.4338773795,24.7280407295,"0","0",,"394024","340027","317949","10","10","588409",,Tallinn,"1","0",Admin-0 capital
"3","110","1",Lhasa,,,"0",Lhasa,"0","0",,"0","0",China,CHN,China,CHN,Xizang,CN,,29.6450238231,91.1000101308,"0","0",,"219599","118721","219448","10","9","1280737",,Lhasa,"1","0",Admin-1 capital
"3","110","1",Hami,,,"0",Hami,"0","0",,"0","0",China,CHN,China,CHN,Xinjiang Uygur,CN,,42.8269840689,93.5150048411,"4","0",Location adjusted.,"300848","137072","0","10","9","1529484",,Hami,"1","0",Populated place
"3","110","1",Hotan,,,"0",Hotan,"0","0",,"0","0",China,CHN,China,CHN,Xinjiang Uygur,CN,,37.0997109162,79.9269453521,"0","0",,"261730","114000","230635","10","9","1281019",,Hotan,"1","0",Populated place
"3","110","1",Kashgar,Kashi,,"0",Kashi,"0","0",,"0","0",China,CHN,China,CHN,Xinjiang Uygur,CN,,39.4763358755,75.9699259022,"0","0",,"543914","400225","481725","11","10","1280849",,Kashi,"1","0",Populated place
"3","110","1",Yinchuan,,,"0",Yinchuan,"0","0",,"0","1",China,CHN,China,CHN,Ningxia Hui,CN,,38.4679736522,106.273037475,"4","0",Location adjusted.,"991000","324228","0","11","10","1786657",Yinchuan,Yinchuan,"1","0",Admin-1 capital
"3","110","1",Pingxiang,,"Pingxiang, Jiangxi","0",Pingxiang,"0","0",,"0","1",China,CHN,China,CHN,Jiangxi,CN,,27.620005309,113.850042683,"0","0",,"961000","372123","31109","11","10","1798654","Pingxiang, Jiangxi",Pingxiang2,"1","0",Populated place
"3","110","2",Nagasaki,,,"0",Nagasaki,"0","0",,"0","0",Japan,JPN,Japan,JPN,Nagasaki,JP,,32.7649884227,129.885032917,"0","0",,"435455","410204","435310","10","10","1856177",,Nagasaki,"1","0",Populated place
"3","110","1",Qiqihar,,Qiqihaer,"0",Qiqihar,"0","0",,"0","1",China,CHN,China,CHN,Heilongjiang,CN,,47.3449770295,123.989992227,"0","0",,"1641000","882364","880100","12","11","2035265",Qiqihaer,Qiqihar,"1","0",Populated place
"3","110","3",Kikwit,,,"0",Kikwit,"0","0",,"0","0",Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-5.03004311231,18.8500015856,"0","0",,"637736","294210","637896","11","10","2314705",,Kikwit,"1","0",Populated place
"3","110","3",Matadi,,,"0",Matadi,"0","0",,"0","0",Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bas-Congo,CD,,-5.81661008822,13.4500211168,"4","0",Location adjusted.,"245862","180109","0","10","9","2313002",,Matadi,"1","0",Admin-1 capital
"3","110","3",Kolwezi,,,"0",Kolwezi,"0","0",,"0","0",Congo (Kinshasa),COD,Congo (Kinshasa),COD,Katanga,CD,,-10.7167244274,25.4724397366,"4","0",Changed feature class.,"418000","418000","0","10","10","922773",,Kolwezi,"1","0",Admin-1 capital
"3","110","3",Lubumbashi,,Lumumbashi,"0",Lubumbashi,"0","0",,"0","1",Congo (Kinshasa),COD,Congo (Kinshasa),COD,Katanga,CD,,-11.6800248018,27.4800174548,"0","0",,"1352000","876634","877391","12","11","922704",Lubumbashi,Lubumbashi,"1","0",Populated place
"3","110","8",Lilongwe,,,"0",Lilongwe,"1","0",,"0","0",Malawi,MWI,Malawi,MWI,Lilongwe,MW,,-13.9832950655,33.78330196,"0","0",,"646750","646750","1061388","11","11","927967",,Lilongwe,"1","0",Admin-0 capital
"3","110","8",Guatemala,,Ciudad de Guatemala (Guatemala City),"0",Guatemala,"1","0",,"0","1",Guatemala,GTM,Guatemala,GTM,Guatemala,GT,,14.6211346628,-90.5269655779,"0","0",,"1024000","994938","2391150","12","11","3598132",Ciudad de Guatemala (Guatemala City),Guatemala,"1","0",Admin-0 capital
"3","110","8",Cayenne,,,"0",Cayenne,"0","0",,"0","0",French Republic,FRA,France,FRA,Guinaa,GF,,4.93299216605,-52.3300205908,"4","0",Location adjusted.,"61550","52809","0","8","8","3382160",,Cayenne,"1","0",Populated place
"3","110","7",Libreville,,,"0",Libreville,"1","0",,"0","0",Gabon,GAB,Gabon,GAB,Estuaire,GA,,0.38538860972,9.45796504582,"0","0",,"578156","483355","483522","11","10","2399697",,Libreville,"1","0",Admin-0 capital
"3","110","1",Vishakhapatnam,,Visakhapatnam,"0",Vishakhapatnam,"0","0",,"0","1",India,IND,India,IND,Andhra Pradesh,IN,,17.7300146677,83.3049820546,"1","1",Name changed.,"1529000","1063178","2400231","12","12","1253102",Visakhapatnam,Visakhapatnam,"1","0",Populated place
"3","110","8",Suva,,,"0",Suva,"1","0",,"0","0",Fiji,FJI,Fiji,FJI,Central,FJ,,-18.1330159314,178.441707315,"4","0",Location adjusted.,"175399","88271","0","9","8","2198148",,Suva,"1","0",Admin-0 capital
"3","110","7",Port-Gentil,,Port Gentil,"0",Port-Gentil,"0","0",,"0","0",Gabon,GAB,Gabon,GAB,Ogooué-Maritime,GA,,-0.72002195344,8.78002193059,"0","0",,"116836","109163","116836","9","9","2396518",,Port-Gentil,"1","0",Admin-1 capital
"3","110","6",Timbuktu,,,"0",Timbuktu,"0","0",,"0","0",Mali,MLI,Mali,MLI,Timbuktu,ML,,16.7665851023,-3.01659651835,"4","0",Location adjusted.,"68872","68872","0","8","8","2449067",,Timbuktu,"1","0",Populated place
"3","110","3",Punta Arenas,,,"0",Punta Arenas,"0","0",,"0","0",Chile,CHL,Chile,CHL,Magallanes y Antártica Chilena,CL,,-53.1649861464,-70.9399957699,"4","0",Changed feature class.,"117430","95162","93243","9","8","3874787",,Punta Arenas,"1","0",Admin-1 capital
"3","110","3",Iquique,,,"0",Iquique,"0","0",,"0","0",Chile,CHL,Chile,CHL,Tarapacá,CL,,-20.2499926566,-70.1299676938,"0","0",,"227499","218525","218525","10","10","3887127",,Iquique,"1","0",Admin-1 capital
"3","110","3",Antofagasta,,,"0",Antofagasta,"0","0",,"0","0",Chile,CHL,Chile,CHL,Antofagasta,CL,,-23.6499918429,-70.4000028907,"4","0",Location adjusted.,"309832","281246","0","10","10","3899539",,Antofagasta,"1","0",Admin-1 capital
"3","110","3",Valparaiso,,Valparaíso,"0",Valparaiso,"0","1",Legislative cap,"0","1",Chile,CHL,Chile,CHL,Valparaíso,CL,,-33.0477644666,-71.6210136329,"4","0",Changed scale rank.,"854000","15938","130815","11","6","3445575",Valparaíso,Valparaiso2,"1","0",Admin-0 capital alt
"3","110","3",Valdivia,,,"0",Valdivia,"0","0",,"0","0",Chile,CHL,Chile,CHL,Los Ríos,CL,,-39.7950012016,-73.2450230323,"4","0",Changed feature class.,"159599","133419","153278","9","9","3868707",,Valdivia,"1","0",Admin-1 capital
"3","110","3",Concepcion,,,"0",Concepcion,"0","0",,"0","0",Chile,CHL,Chile,CHL,Bío-Bío,CL,,-36.8300142225,-73.0500220151,"0","0",,"889725","212003","431566","11","10","3893894",,Concepcion1,"1","0",Admin-1 capital
"3","110","3",Puerto Montt,,,"0",Puerto Montt,"0","0",,"0","0",Chile,CHL,Chile,CHL,Los Lagos,CL,,-41.4699894015,-72.9299776628,"0","0",,"174629","160054","174058","9","9","3874960",,Puerto Montt,"1","0",Admin-1 capital
"3","110","8",Nuuk,Godthab,,"0",Nuuk,"0","0",,"0","0",Denmark,DNK,Greenland,GRL,Kommuneqarfik Sermersooq,GL,,64.1982814673,-51.7326587899,"4","0",Location adjusted. Population from GeoNames.,"14798","14798","0","6","6","3421319",,Nuuk (Godthab),"0","0",Admin-0 region capital
"3","110","7",Nouakchott,,,"0",Nouakchott,"1","0",,"0","0",Mauritania,MRT,Mauritania,MRT,Nouakchott,MR,,18.0864270212,-15.9753404149,"0","0",,"742144","661400","742144","11","11","2377450",,Nouakchott,"1","0",Admin-0 capital
"3","110","6",Bamako,,,"0",Bamako,"1","0",,"0","1",Mali,MLI,Mali,MLI,Bamako,ML,,12.6500146677,-8.00003910464,"0","0",,"1494000","1297281","1301407","12","12","2460596",Bamako,Bamako,"1","0",Admin-0 capital
"3","110","7",Atar,,,"0",Atar,"0","0",,"0","0",Mauritania,MRT,Mauritania,MRT,Adrar,MR,,20.5166404409,-13.0499892593,"0","0",,"44265","44265","44265","7","7","2381334",,Atar,"1","0",Admin-1 capital
"3","110","6",Djenne,,,"0",Djenne,"0","0",,"0","0",Mali,MLI,Mali,MLI,Mopti,ML,,13.8999900502,-4.54999129375,"0","0",,"32944","22382","4026","7","7","2458589",,Djenne,"1","0",Populated place
"3","110","7",Sabha,,,"0",Sabha,"0","0",,"0","0",Libya,LBY,Libya,LBY,Sabha,LY,,27.0332710968,14.4333202705,"0","0",,"100249","100249","100249","9","9","2212775",,Sabha,"1","0",Admin-1 capital
"3","110","7",Banghazi,,Benghazi,"0",Banghazi,"0","0",,"0","1",Libya,LBY,Libya,LBY,Benghazi,LY,,32.1167334178,20.0667231839,"4","0",Location adjusted.,"1180000","582374","0","12","11","88319",Banghazi,Banghazi,"1","0",Admin-1 capital
"3","110","6",Thessaloniki,,,"0",Thessaloniki,"0","0",,"0","1",Greece,GRC,Greece,GRC,Kentriki Makedonia,GR,,40.6961063833,22.8850007718,"0","0",,"828000","354290","763621","11","10","734077",Thessaloniki,Thessaloniki,"1","0",Populated place
"3","110","8",Beirut,,Bayrut,"0",Beirut,"1","0",,"0","1",Lebanon,LBN,Lebanon,LBN,Beirut,LB,,33.871975117,35.50970821,"0","0",,"1846000","1712125","1661980","12","12","276781",Bayrut,Beirut,"1","5",Admin-0 capital
