month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,40900,"sacramento--roseville--arden-arcade, ca",29,589495,0.0008,0.0831,2909,0.0028,-0.0072,31.5,0.105263158,-0.1,2808,-0.0727,-0.0514,112,0.0769,-0.3778,1072,-0.053,0.1806,3636,-0.0044,-0.2392,325.6135266,0.004,0.1778,1783.5,0.0008,-0.073,865465.2412,0.0143,0.0786,6545,-0.0012,-0.151,1.24991406,-0.009,-0.3811
202109,28140,"kansas city, mo-ks",30,325000,0.0079,-0.0426,3361,0.0464,-0.0167,42.5,0.103896104,-0.132653061,2376,-0.0719,0.0154,152,-0.0732,-0.2692,1204,-0.0163,0.0308,6928,-0.0508,-0.0024,159.7883595,0.0008,0.0875,2001,-0.0062,-0.1285,406153.2196,-0.0138,-0.073,10289,-0.0211,-0.0071,2.061291282,-0.2111,0.0294
202109,18140,"columbus, oh",31,289450,-0.0348,-0.0357,2340,-0.0156,-0.0102,25,0.219512195,-0.193548387,2288,-0.1674,0.0306,56,0.0769,-0.5,1132,-0.0035,0.052,3174,-0.0497,-0.1181,164.2431842,0.001,0.0921,1658,-0.0369,-0.1119,369353.2431,-0.0144,-0.0428,5514,-0.0355,-0.0753,1.356410256,-0.0487,-0.166
202109,26900,"indianapolis-carmel-anderson, in",32,279950,0.0018,-0.0216,2470,0.0186,-0.2272,37.5,0.071428571,-0.175824176,2244,-0.0878,-0.0937,80,0.25,-0.3103,1080,-0.011,-0.194,4578,-0.0295,-0.1188,130.9277896,0.0166,0.1193,2083.5,-0.0095,-0.089,374196.773,0.0065,0.0171,7048,-0.0132,-0.1601,1.853441296,-0.0917,0.228
202109,29820,"las vegas-henderson-paradise, nv",33,429949.5,0.0188,0.2464,5732,0.0448,-0.3316,28.5,0.075471698,-0.269230769,3544,-0.1014,-0.121,288,0.1429,-0.0137,1756,0.0866,-0.2768,134,-0.0629,-0.029,230.6497971,0.0185,0.2353,1881.5,0.007,0.0217,656298.1595,-0.0043,0.2708,5866,0.0421,-0.3268,0.02337753,-0.0027,0.0073
202109,12420,"austin-round rock, tx",34,546490,0.0046,0.3362,3930,0.0685,-0.1021,28,0.217391304,-0.370786517,3296,-0.0975,0.1994,260,0.0156,-0.6814,1768,0.0138,0.2924,2925,-0.0637,-0.4526,261.396276,0.0102,0.3072,2099,-0.0002,0.0152,752473.1773,-0.001,0.1331,6855,0.0078,-0.2948,0.744274809,-0.1051,-0.4764
202109,34980,"nashville-davidson--murfreesboro--franklin, tn",35,448450,0.0193,0.1214,2689,0.0354,-0.4254,21,0.166666667,-0.34375,2820,-0.0303,-0.0537,228,0.3256,-0.6096,948,0.0304,-0.2685,2401,-0.0107,-0.2755,220.6808927,0.0037,0.2005,2041.5,0.0005,-0.0616,771683.7094,0.0093,0.2733,5090,0.0131,-0.3633,0.892896988,-0.0416,0.1848
202109,41940,"san jose-sunnyvale-santa clara, ca",36,1250499.5,0.0004,0.043,1257,-0.0626,-0.2544,31,0.050847458,-0.114285714,1492,-0.0261,-0.0158,44,-0.1538,0,308,-0.0941,-0.4167,1800,-0.0132,0.0147,799.6683247,0.005,0.077,1617,0.0151,-0.0055,1863392.83,0.0125,0.0707,3057,-0.0341,-0.1165,1.431980907,0.0718,0.3798
202109,47260,"virginia beach-norfolk-newport news, va-nc",37,315000,0.0161,-0.0453,4390,-0.021,-0.1845,29.5,0.156862745,-0.233766234,2724,-0.1634,-0.0968,164,0.0789,-0.6204,1152,-0.0137,0.3846,782,-0.0521,-0.2188,171.1326758,0.0101,0.0859,1809.5,0.0008,-0.1201,428551.5409,0.0183,0.0022,5172,-0.0258,-0.1898,0.178132118,-0.0059,-0.0078
202109,33340,"milwaukee-waukesha-west allis, wi",38,279450,-0.036,-0.1438,2043,0.058,0.0408,37,0.057142857,-0.097560976,1584,-0.102,0.0286,44,0.2222,0.375,960,0.0714,0.25,2348,-0.0653,-0.1213,158.3966893,0.0082,0.0215,1525.5,-0.0068,-0.0732,381901.5287,-0.0212,-0.1073,4391,-0.0117,-0.0526,1.149290259,-0.1516,-0.2119
202109,39300,"providence-warwick, ri-ma",39,429450,0,0.0387,2147,0.0224,-0.1065,35,0.129032258,-0.146341463,1872,-0.0751,-0.0733,20,-0.2857,-0.4444,572,0.0438,0.1,2712,-0.0403,-0.1514,269.7247179,-0.0097,0.1225,1617,0.016,-0.0642,701853.3848,-0.0195,-0.0125,4859,-0.0136,-0.1322,1.263157895,-0.0826,-0.0668
202109,27260,"jacksonville, fl",40,369945,0.0291,0.1473,3436,0.0418,-0.3257,38,0.027027027,-0.355932203,2708,-0.0146,0.1514,328,0.3898,-0.598,1384,0.109,0,7006,0.0194,-0.025,196.4334597,0.0148,0.2001,1799,-0.0008,-0.0529,543331.472,0.0129,0.1656,10442,0.0266,-0.1498,2.038998836,-0.045,0.6289
202109,36420,"oklahoma city, ok",41,277450,-0.0076,0.0327,2410,0.0221,-0.2062,42,0.135135135,-0.151515152,1504,-0.1512,-0.0433,128,0.4545,-0.5616,812,-0.0193,-0.1398,3334,-0.0579,-0.0582,148.0742742,0.0228,0.1263,1891,-0.025,-0.093,391994.1603,-0.0154,0.0425,5744,-0.0259,-0.1265,1.38340249,-0.1174,0.2174
202109,31140,"louisville/jefferson county, ky-in",42,250000,-0.0566,-0.0652,1994,0.0257,-0.0599,30,0.132075472,-0.142857143,1580,-0.1043,0.026,32,0.6,-0.6364,852,0.0047,0.1211,2671,-0.0137,0.0015,145.050098,-0.0072,0.0789,1760,-0.0143,-0.0631,357328.5066,-0.0248,-0.0289,4665,0.0028,-0.0257,1.339518556,-0.0535,0.0821
202109,32820,"memphis, tn-ms-ar",43,249450,-0.0012,-0.0461,1398,-0.0141,-0.1392,38.5,0.040540541,-0.180851064,1152,-0.0972,0.0868,60,-0.3478,-0.5455,460,0.055,0.0177,3114,-0.0365,0.0394,0,,,0,,,324678.3568,-0.0036,-0.0375,4512,-0.0297,-0.0234,2.227467811,-0.0518,0.3826
202109,35380,"new orleans-metairie, la",44,339500,0.0001,0.0446,2683,-0.0589,-0.0846,60.5,0.32967033,-0.047244094,564,-0.596,-0.5121,28,0.1667,-0.5882,364,-0.6192,-0.5667,2680,-0.0476,-0.0118,177.536191,0.01,0.0591,1857.5,0.0024,-0.0185,476809.5834,0.0088,0.0362,5363,-0.0533,-0.0496,0.998881849,0.0119,0.0736
202109,40060,"richmond, va",45,350000,0.0001,-0.014,1940,-0.0072,-0.1896,41.5,0.092105263,-0.135416667,1608,-0.0801,-0.005,148,-0.2292,-0.6917,584,-0.0519,-0.0759,4512,-0.0584,-0.0136,184.1346843,0.0192,0.1452,1954,-0.024,-0.1094,430661.6252,-0.0026,0.0223,6452,-0.0436,-0.0741,2.325773196,-0.1266,0.4152
202109,39580,"raleigh, nc",46,427250,0.0059,0.0955,1376,0.1151,-0.5312,19,0,-0.604166667,1664,0.0667,-0.0095,120,-0.25,-0.7761,376,0.1605,-0.4863,1728,-0.0319,-0.2258,196.8908728,0.0127,0.2322,2257.5,-0.0007,-0.084,558229.155,-0.0137,0.1252,3104,0.0282,-0.3993,1.255813953,-0.1907,0.4953
202109,15380,"buffalo-cheektowaga-niagara falls, ny",47,229949.5,0.0044,0.0002,1136,-0.0478,-0.0816,45,0.384615385,0.046511628,956,-0.2007,-0.0736,36,2,1.25,344,-0.0549,-0.1313,3050,-0.0085,-0.1074,145.8924004,-0.0045,0.0803,1636,-0.0049,-0.034,314122.3115,0.0048,0.0502,4186,-0.0194,-0.1006,2.684859155,0.1065,-0.0775
202109,25540,"hartford-west hartford-east hartford, ct",48,336950,0.021,0.1235,1870,-0.0286,-0.5651,41,0.28125,-0.035294118,1384,-0.0442,-0.2242,20,-0.375,-0.8529,576,-0.0069,-0.2461,3024,-0.0556,1511,188.2015509,-0.0071,0.2283,1739,-0.0017,-0.0886,436418.0827,-0.0055,0.1555,4894,-0.0454,0.1376,1.617112299,-0.0463,1.6166
202109,13820,"birmingham-hoover, al",49,271450,-0.0039,0.0017,1989,-0.0279,-0.2506,45.5,0.197368421,-0.116504854,1292,-0.1675,-0.0901,120,0.1538,-0.6429,496,-0.0677,-0.1507,3101,-0.0494,-0.0393,136.7161732,0.0106,0.1081,1905.5,-0.0076,-0.1008,365751.8665,0.0055,0.0243,5090,-0.0411,-0.1346,1.559074912,-0.0353,0.3428
202109,40380,"rochester, ny",50,216950,-0.0464,-0.0247,1083,0.0046,-0.2259,21.5,0.131578947,-0.245614035,1064,-0.1133,-0.0732,16,0,-0.3333,284,0.0441,-0.2022,195,-0.0201,-0.3182,124.2281393,-0.0292,0.0171,1701,-0.0185,-0.019,301758.8216,-0.0439,0.0705,1278,0.0008,-0.2415,0.180055402,-0.0045,-0.0244
202109,46060,"tucson, az",51,359900,0.0006,0.1273,1447,0.1148,-0.0366,34,0.03030303,-0.209302326,1300,-0.0061,0.1484,64,0,-0.5152,596,0.0797,0.2957,2326,0.0389,-0.1305,201.2003388,0.0116,0.1644,1848,0.0016,-0.0489,499982.0183,0.0154,0.042,3773,0.0667,-0.0967,1.607463718,-0.1175,-0.1735
202109,41620,"salt lake city, ut",52,549500,-0.0401,0.1389,1310,0.0853,-0.0609,21.5,0.131578947,-0.306451613,1408,-0.0951,0.1318,60,-0.2105,-0.5588,628,0.0195,0.256,2430,0.0037,-0.2179,237.1842621,0.0002,0.1425,2402,-0.0238,-0.0074,765447.3351,-0.0225,0.0566,3740,0.0309,-0.1693,1.854961832,-0.1508,-0.3723
202109,24340,"grand rapids-wyoming, mi",53,317450,0.0065,0.041,1169,0.0254,-0.2359,36.5,0.073529412,-0.206521739,1208,-0.0904,0.0272,28,1.3333,-0.5882,336,-0.0118,-0.25,2042,-0.0427,-0.2218,163.4461214,0.0008,0.0833,1936,-0.0143,-0.0542,436111.0829,-0.0334,0.0599,3211,-0.0189,-0.227,1.74679213,-0.1243,0.0318
202109,46140,"tulsa, ok",54,265000,0,-0.0598,1472,-0.0252,-0.2265,40.5,0.08,-0.173469388,976,-0.1974,-0.0579,72,0.3846,0.5,528,0.0233,-0.1258,2686,-0.0373,0.046,128.2230674,0.0028,0.126,1941,-0.0117,-0.1574,370270.0911,0.002,-0.0083,4158,-0.033,-0.07,1.824728261,-0.023,0.4753
202109,10580,"albany-schenectady-troy, ny",55,325000,-0.0356,-0.0203,1836,-0.0198,-0.2537,61.5,0.060344828,-0.031496063,948,-0.1382,-0.1566,36,0,-0.6897,508,0.0079,-0.1533,3178,-0.0405,-0.091,175.8867758,-0.0114,0.0508,1812,-0.0232,-0.0468,412962.9844,-0.0116,0.0605,5014,-0.033,-0.1582,1.730936819,-0.0373,0.3098
202109,10740,"albuquerque, nm",56,350000,0.011,0.0857,1010,0.0317,-0.2231,38.5,0.069444444,-0.134831461,888,-0.0711,0.0091,44,-0.2143,-0.5926,452,0.1078,-0.096,2174,-0.0282,-0.1046,174.9861504,0.006,0.1311,2022.5,-0.0037,-0.0545,459824.9102,0.0207,0.1302,3184,-0.01,-0.1459,2.152475248,-0.1325,0.2848
202109,36540,"omaha-council bluffs, ne-ia",57,292000,0.0086,-0.0458,1252,0.0442,-0.1659,35.5,0.014285714,-0.202247191,1152,0.0035,0.0141,28,-0.125,-0.7813,328,-0.0889,-0.012,2855,-0.0867,-0.1067,143.8849985,0.0022,0.0642,1944,-0.0405,-0.1121,361381.2534,-0.0148,-0.0169,4107,-0.0504,-0.1256,2.280351438,-0.3268,0.1511
202109,49340,"worcester, ma-ct",58,407400,-0.0002,0.0724,1112,0.0183,-0.1189,29.5,0.072727273,-0.063492063,1028,-0.0077,-0.0517,24,0,-0.1429,352,0.0864,0.0233,601,0.0084,0.6156,228.1474243,-0.0047,0.1436,1823,0.0025,-0.053,481912.7756,0.0046,0.0347,1713,0.0148,0.0483,0.540467626,-0.0053,0.2457
202109,28940,"knoxville, tn",59,326178,-0.0113,0.0116,1167,0.0009,-0.2241,42,0.166666667,-0.2,832,-0.1149,0.0452,20,-0.2857,-0.8214,516,-0.0227,0.0574,2643,-0.0186,-0.0661,169.8276927,0.0075,0.1797,1968.5,-0.0135,-0.1109,476219.7903,0.0036,0.0704,3810,-0.0127,-0.1209,2.264781491,-0.0448,0.3831
