month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,mississippi,ms,232500,-0.0104,0.0164,4378,-0.0111,-0.3304,56,0.12,-0.295597484,1788,-0.1738,-0.106,112,0.037,-0.4815,1008,-0.087,-0.1765,3925,-0.0535,-0.0485,109.375,0.002,0.0575,1981.5,-5.00E-04,-0.0334,322025.0872,0.0044,0.0912,8303,-0.0316,-0.2213,0.896528095,-0.0402,0.2656
202109,iowa,ia,219500,-0.0277,0.0097,7826,0.0093,-0.253,52,0.02970297,-0.223880597,3588,-0.0282,-0.0218,540,-0.3147,-0.0426,2492,-0.0266,-0.1477,7799,-0.0644,-0.0357,137.8003336,-0.0106,0.0667,1558,-0.008,-0.0341,275934.1893,-0.0083,0.0745,15625,-0.0289,-0.1584,0.996549962,-0.0785,0.2246
202109,oregon,or,520000,-0.0095,0.0949,8209,0.062,-0.019,37,0.057142857,-0.252525253,6316,-0.059,0.2744,2456,-0.1216,0.1585,4048,0.0433,0.2762,10956,-0.0227,-0.1059,282.0595599,-0.0021,0.1813,1870.5,-0.0051,-0.0687,708406.188,-0.0039,0.1136,19165,0.0119,-0.0706,1.33463272,-0.1156,-0.1296
202109,north carolina,nc,359000,0.0163,0.0397,16209,0.0149,-0.3173,40,0.066666667,-0.304347826,12160,-0.0547,0.008,700,-0.1117,-0.6723,4696,0.0182,-0.1226,23650,-0.0156,0.0112,165.1484375,0.0108,0.1354,1744,-0.0051,-0.1245,510389.2575,0,0.064,39859,-0.0035,-0.1543,1.459065951,-0.0453,0.4739
202109,hawaii,hi,725000,1.00E-04,0.1462,4269,0.009,-0.3605,46,-0.070707071,-0.361111111,1764,0.1366,0.1053,96,-0.04,0.4118,372,-0.07,-0.5053,1112,-0.0787,-0.0488,578.0379041,0.0067,0.0606,1207,0.0092,0.0477,1293301.273,-0.0115,0.114,5381,-0.0105,-0.3141,0.260482549,-0.0248,0.0854
202109,kansas,ks,212450,-0.0119,-0.0119,4466,0.0236,-0.1733,43.5,0.06097561,-0.230088496,2736,-0.0579,0.0059,124,-0.225,-0.2955,1416,-0.0248,-0.0194,6057,-0.0505,-0.0172,111.7417089,-0.0016,0.1175,1857.5,-0.0088,-0.0904,302326.1198,-0.0054,-0.0167,10523,-0.0204,-0.0901,1.356247201,-0.1058,0.2154
202109,new mexico,nm,305000,0.0086,0.0685,4301,-0.0196,-0.1563,51,0.0625,-0.13559322,1928,-0.1469,-0.0641,84,-0.16,-0.4615,984,-0.004,-0.0575,3926,-0.0258,-0.0485,154.9576245,0.0059,0.1038,1930,-0.0028,-0.0248,482364.053,0.0107,0.0754,8227,-0.0226,-0.1081,0.912810974,-0.0058,0.1035
202109,florida,fl,399000,0.0101,0.1433,57297,0.0025,-0.4372,48,0.066666667,-0.36,33428,-0.0332,-0.0565,3008,-0.0852,-0.5201,15024,0.0364,-0.3017,68825,-0.0077,-0.0589,235.5234375,0.0096,0.1884,1629,0.004,-0.0199,847789.3523,0.0092,0.1643,126122,-0.0031,-0.279,1.20119727,-0.0124,0.4828
202109,district of columbia,dc,599450,0.0293,-0.077,2006,0.1779,0.1555,37,-0.129411765,0.174603175,1568,0.9502,0.2288,24,2,0,624,0.3929,0.1642,974,-0.1257,1.5103,557.6998028,0.008,-0.0363,1086,0.0299,-0.044,923031.6241,0.0044,-0.0482,2980,0.0579,0.403,0.48554337,-0.1686,0.262
202109,pennsylvania,pa,267000,-0.0107,0.008,22336,0.0102,-0.0868,48,0.103448276,-0.094339623,13136,-0.0631,0.0211,452,-0.1567,-0.5784,7776,0.0379,0.0606,24185,-0.0477,0.6933,147.1763009,0.0016,0.1135,1600,-0.0078,-0.0479,383390.0246,-0.009,-0.0099,46521,-0.0208,0.2008,1.08278116,-0.0659,0.4988
202109,delaware,de,387000,0.0019,0.1059,1757,0.0275,-0.2427,49,0.088888889,-0.240310078,1268,-0.048,0.0428,104,-0.2778,-0.7886,488,0.0167,0.1961,3296,-0.0208,3.2365,180.1136909,0.0049,0.1057,1949,0.0041,-0.0255,477517.4125,0.0061,0.0157,5053,-0.0045,0.6311,1.875924872,-0.0925,1.5406
202109,indiana,in,232500,-0.0085,0.0222,9137,0.0453,-0.1081,36.5,0.057971014,-0.197802198,6872,-0.0581,0.0251,192,0.2973,-0.3684,3904,0.062,0.062,7933,-0.0205,-0.067,121.4365697,0.0068,0.1256,1870,-0.0053,-0.0522,314867.0852,-0.0022,0.0487,17070,0.0137,-0.0895,0.868228084,-0.0583,0.0382
