month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,minnesota,mn,319900,0,0.0663,12825,0.0415,-0.1467,37.5,0.071428571,-0.147727273,8572,-0.0609,-0.0281,280,0.3462,-0.3966,4088,0.0635,0.0407,12078,-0.0817,-0.0915,173.2612539,0.0026,0.1021,1858,-0.0051,-0.0576,408845.8557,-0.0103,0.0143,24903,-0.0221,-0.1208,0.941754386,-0.1264,0.0572
202109,missouri,mo,243750,-0.0128,0.0602,11850,0.0291,-0.1261,44,0.1,-0.221238938,7448,-0.0437,0.0299,304,0.1875,-0.6481,3752,0.013,0.0492,14239,-0.0514,-0.0606,134.0766032,-0.0003,0.1469,1730,-0.008,-0.0686,343911.8503,-0.0101,0.0655,26089,-0.0165,-0.0915,1.201603376,-0.102,0.0838
202109,montana,mt,529950,0.0443,0.325,3109,-0.0022,-0.1904,57.5,0.12745098,-0.184397163,1308,-0.1845,0.0031,32,-0.2,-0.6667,648,-0.105,0.0452,3234,-0.03,-0.207,258.9097502,0.0129,0.3545,2125,0.0204,-0.033,984304.7882,0.038,0.2684,6343,-0.0166,-0.1989,1.040205854,-0.0298,-0.0218
202109,mississippi,ms,232500,-0.0104,0.0164,4378,-0.0111,-0.3304,56,0.12,-0.295597484,1788,-0.1738,-0.106,112,0.037,-0.4815,1008,-0.087,-0.1765,3925,-0.0535,-0.0485,109.375,0.002,0.0575,1981.5,-0.0005,-0.0334,322025.0872,0.0044,0.0912,8303,-0.0316,-0.2213,0.896528095,-0.0402,0.2656
202109,wyoming,wy,329500,0.0138,0.1664,1773,-0.0117,-0.2928,49,0.088888889,-0.222222222,752,-0.0829,-0.0874,8,-0.6667,-0.8333,388,-0.0583,-0.1182,993,-0.0139,-0.144,153.6334765,0.0131,0.1922,2096,-0.0087,-0.0468,924751.6909,0.0497,0.4442,2766,-0.0125,-0.2457,0.560067682,-0.0012,0.0974
202109,tennessee,tn,346532,0.0044,0.0663,11192,0.0162,-0.2168,35.5,0.14516129,-0.211111111,8244,-0.0589,0.0575,436,0,-0.6162,3992,-0.0273,0.0789,14415,-0.0115,-0.0452,167.2590693,0.0077,0.1554,1806.5,0.0019,-0.0757,531609.538,0.0033,0.1374,25607,0.0004,-0.1287,1.287973553,-0.0361,0.2316
202109,pennsylvania,pa,267000,-0.0107,0.008,22336,0.0102,-0.0868,48,0.103448276,-0.094339623,13136,-0.0631,0.0211,452,-0.1567,-0.5784,7776,0.0379,0.0606,24185,-0.0477,0.6933,147.1763009,0.0016,0.1135,1600,-0.0078,-0.0479,383390.0246,-0.009,-0.0099,46521,-0.0208,0.2008,1.08278116,-0.0659,0.4988
202109,west virginia,wv,179950,0.0028,0.0592,3257,0.0012,-0.3002,57,0.096153846,-0.264516129,1448,-0.095,-0.0295,24,-0.5,-0.6842,752,0.0621,-0.1897,3005,-0.0118,0.1242,94.87866888,0.0155,0.1382,1600,0.0098,-0.0214,272072.3267,-0.0053,0.0745,6262,-0.0051,-0.1454,0.922628185,-0.0122,0.3483
202109,kentucky,ky,249000,-0.0036,0.0379,7176,0.0452,-0.0656,40.5,0.094594595,-0.235849057,4136,-0.0993,0.0704,100,-0.1379,-0.569,2328,0.0374,0.1149,9006,-0.031,-0.032,129.6605286,0.0029,0.1307,1791,-0.0127,-0.0591,339123.6683,-0.0126,0.033,16182,0.0014,-0.0472,1.255016722,-0.0986,0.0436
202109,nebraska,ne,253475,-0.006,0.017,3158,0.028,-0.1791,47,0.032967033,-0.196581197,1948,-0.0432,0.0104,56,0,-0.6216,668,-0.0457,-0.0773,4514,-0.0621,-0.0505,131.8298162,0.0182,0.112,1874,-0.005,-0.067,328872.7692,-0.0008,0.0802,7672,-0.027,-0.108,1.429385687,-0.1373,0.1936
