month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,48221,"hood, tx",397500,-0.0701,0.3826,128,0.0579,-0.2849,36,0.142857143,-0.368421053,108,0.1739,0.125,0,,-1,40,-0.2308,-0.2857,174,-0.1031,-0.2435,181.5485668,-0.0103,0.258,2088,-0.0498,0.0048,508985.1085,-0.0898,0.3202,302,-0.0413,-0.2616,1.359375,-0.2439,0.0745
202109,32510,"carson city, nv",552500,0.1062,0.3987,85,0.1039,0.3492,37,0.104477612,-0.051282051,64,-0.0588,0.2308,4,,,44,-0.1538,1.75,112,0.1089,-0.145,287.4993261,0.0013,0.2265,1864.5,0.0407,0.1013,1301437.944,-0.0331,0.63,197,0.1067,0.0155,1.317647059,0.006,-0.7617
202109,17099,"la salle, il",139500,0,0.0153,192,0.0787,-0.2672,46.5,0.094117647,-0.17699115,100,0,-0.0741,4,,0,68,-0.0556,-0.15,180,-0.0164,-0.0863,95.10502693,0.0083,0.0186,1374.5,-0.0193,-0.1336,204974.2071,-0.0203,0.0564,372,0.0305,-0.1895,0.9375,-0.0906,0.1856
202109,36107,"tioga, ny",169200,-0.0331,-0.0854,137,0.0873,-0.068,54.5,-0.076271186,-0.1484375,64,0.4545,0.4545,0,,,44,0.2222,0.5714,142,0.0143,0.0923,97.8182819,0.0381,0.0941,1920,0,-0.0476,217874.6479,-0.027,-0.0397,279,0.0489,0.0072,1.03649635,-0.0746,0.1521
202109,13077,"coweta, ga",404950,0.001,0.1021,347,-0.0571,-0.4628,42,0.090909091,-0.294117647,208,-0.3067,-0.2571,16,0,-0.8462,96,-0.0769,-0.4146,640,-0.0519,-0.0831,162.4009824,0.0226,0.2883,2318.5,0.0009,-0.1186,494803.597,-0.0059,0.1598,987,-0.0537,-0.2656,1.844380403,0.0101,0.7639
202109,6097,"sonoma, ca",875000,0.021,0.0809,725,-0.0385,0.0372,39.5,0.039473684,-0.18556701,488,-0.1095,0.0517,16,-0.3333,1,236,-0.1324,0.0926,581,-0.0349,-0.1289,481.343941,0.013,0.1126,1845.5,0.0135,-0.0024,1491030.442,0.0365,0.1234,1306,-0.0369,-0.0439,0.80137931,0.003,-0.1528
202109,41041,"lincoln, or",630000,0.0162,0.3433,238,0,-0.2323,44.5,0.05952381,-0.44375,132,-0.1081,0.1379,24,2,0.2,72,-0.25,0.0588,290,0.1462,-0.1691,318.7090783,0.0255,0.2769,1889,-0.021,-0.0161,736860.8124,-0.0129,0.3033,528,0.0754,-0.1988,1.218487395,0.1555,0.0927
202109,36079,"putnam, ny",450000,-0.0207,0.0515,804,-0.0219,-0.1928,532.5,0.055500496,2.160237389,144,-0.0526,-0.3898,4,,0,72,0.0588,-0.28,227,-0.0044,-0.0216,225.8379412,0,0.0515,2058,0.0073,0.0054,632583.5526,-0.0001,0.0145,1031,-0.0181,-0.1604,0.282338308,0.005,0.0494
202109,26099,"macomb, mi",234950,-0.06,-0.0478,1469,0.0166,-0.0571,28.5,0.239130435,-0.25,1280,-0.1086,0.0702,44,-0.1538,-0.4211,648,0.0385,0.1408,1003,0.006,-0.257,161.0883063,-0.0046,0.1091,1471.5,-0.0457,-0.0967,302277.6612,-0.0303,0.0161,2472,0.0123,-0.1499,0.6827774,-0.0072,-0.1837
202109,36015,"chemung, ny",148000,-0.0744,0.0579,165,-0.1033,-0.0237,43.5,0.359375,-0.335877863,64,-0.3846,-0.0588,0,,,68,0.0625,-0.0556,239,0.0214,0.2132,87.1679694,-0.0521,0.1126,1842,0.025,-0.0381,184221.6564,-0.0261,-0.0593,404,-0.0335,0.1038,1.448484848,0.1767,0.2828
