month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,76049,"granbury, tx",*,444900,-0.0233,,50,-0.0909,-0.4792,38,0.225806452,-0.276190476,48,0.0909,0.0909,0,,-1,16,-0.5,-0.5,91,-0.1495,-0.2018,187.6452952,0.0193,0.3091,2364,-0.0017,0.0965,597627.26,0.0251,0.5729,141,-0.1296,-0.3286,1.82,-0.1255,0.6325
202109,75751,"athens, tx",*,399469.5,0.1284,,57,0.0179,-0.4519,45.5,0.4,-0.354609929,24,0,0.2,0,,,8,-0.5,-0.7143,51,-0.2031,0.1333,160.6101596,0.2019,0.3997,2000,0,-0.0336,422123.3723,0.0424,0.1029,108,-0.1,-0.2752,0.894736842,-0.2481,0.462
202109,42501,"somerset, ky",*,224900,0,,62,0.1481,,34,0.446808511,,20,-0.375,0,0,,,4,-0.5,-0.75,43,-0.1887,0.2647,110.4249946,-0.0367,0.3619,1964,-0.018,0.2086,312617.5228,-0.0005,0.7833,105,-0.0187,0.3462,0.693548387,-0.2879,-0.0792
202109,46806,"fort wayne, in",*,89950,0.0715,,15,0.5,-0.5455,19,-0.11627907,-0.683333333,12,0,0,0,,,8,1,0,6,-0.1429,0.5,67.82000614,0.0197,0.207,1295,0.1227,0.1563,83595,0.0172,0.3736,21,0.2353,-0.4324,0.4,-0.3,0.2788
202109,6426,"essex, ct",*,949500,-0.0005,,22,-0.0435,,81,0.338842975,,4,0,-0.8333,0,,,0,-1,-1,16,0,,357.0353649,0.0887,0.2803,2651.5,-0.0024,0.0653,1420043.478,0.0606,0.4666,38,-0.0256,-0.4722,0.727272727,0.0316,0.7273
202109,89178,"las vegas, nv",*,444500,-0.011,,122,0.0796,-0.3029,24,0.142857143,-0.2,96,0,-0.0769,8,1,0,40,0.25,-0.2857,0,,,216.5719363,0.0137,0.2568,2104,-0.028,0.0238,496632.318,-0.0012,0.3368,122,0.0796,-0.3029,0,0,0
202109,18464,"tafton, pa",*,499000,-0.0911,,20,-0.1304,,80.5,0.073333333,0.277777778,0,-1,-1,0,,,0,-1,-1,13,0,-0.4583,160.2564103,-0.0539,0.3866,3088,0.0046,0.1463,593774.9773,-0.0003,0.0124,33,-0.0833,-0.2326,0.65,0.0848,-0.6132
202109,38485,"waynesboro, tn",,198000,-0.1388,0.056,22,0.1,0.6923,45.5,0.895833333,-0.380952381,8,-0.3333,1,0,,,0,,,7,-0.125,0.4,87.41339308,0.1941,2.0863,912,-0.2771,0.2711,287802.98,-0.0861,0.0541,29,0.0357,0.6111,0.318181818,-0.0818,-0.0664
202109,70592,"youngsville, la",,279400,0.0032,0.1596,66,-0.1429,-0.5147,81.5,0.283464567,0.347107438,32,0.1429,-0.2727,0,-1,-1,4,-0.6667,-0.9091,117,-0.1333,-0.041,173.5483871,0,0.2696,1859.5,-0.0127,-0.0046,365281.1948,-0.1052,-0.0429,183,-0.1368,-0.2907,1.772727273,0.0195,0.8757
202109,4947,"kingfield, me",*,489500,0.0209,,21,-0.0455,-0.125,45.5,-0.1875,-0.228813559,12,0.5,0,0,,,0,-1,-1,5,0.25,-0.1667,198.3795002,-0.0961,0.1705,2388,0.0383,0.194,569620.3704,0.0785,0.6046,26,0,-0.1333,0.238095238,0.0563,-0.0119
