BLKID	POPN_TOTAL	POPN_WHITE	POPN_BLACK	POPN_NATIV	POPN_ASIAN	POPN_OTHER	BORONAME
"360850201001006"	"42"	"29"	"9"	"0"	"0"	"4"	Staten Island
"360850273021006"	"141"	"126"	"0"	"0"	"15"	"0"	Staten Island
"360850277051006"	"151"	"119"	"2"	"1"	"24"	"5"	Staten Island
"360850303011006"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850008001007"	"130"	"83"	"0"	"0"	"4"	"43"	Staten Island
"360850009001007"	"60"	"34"	"15"	"0"	"7"	"4"	Staten Island
"360850021001007"	"59"	"22"	"9"	"0"	"9"	"19"	Staten Island
"360850070001007"	"206"	"177"	"0"	"0"	"29"	"0"	Staten Island
"360850081001007"	"131"	"73"	"41"	"0"	"0"	"17"	Staten Island
"360850128041007"	"55"	"47"	"0"	"0"	"0"	"8"	Staten Island
"360850128051007"	"84"	"83"	"1"	"0"	"0"	"0"	Staten Island
"360850132011007"	"114"	"110"	"1"	"2"	"0"	"1"	Staten Island
"360850146041007"	"154"	"137"	"1"	"0"	"14"	"2"	Staten Island
"360850156011007"	"80"	"78"	"0"	"0"	"0"	"2"	Staten Island
"360850170071007"	"83"	"65"	"0"	"0"	"12"	"6"	Staten Island
"360850170091007"	"69"	"65"	"0"	"0"	"3"	"1"	Staten Island
"360850177001007"	"44"	"27"	"0"	"0"	"17"	"0"	Staten Island
"360850198001007"	"8"	"2"	"5"	"0"	"0"	"1"	Staten Island
"360850277041007"	"302"	"233"	"2"	"0"	"62"	"5"	Staten Island
"360850277051007"	"85"	"76"	"0"	"0"	"3"	"6"	Staten Island
"360850303021007"	"220"	"114"	"36"	"0"	"31"	"39"	Staten Island
"360850323001007"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850018001008"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850020011008"	"87"	"69"	"5"	"0"	"5"	"8"	Staten Island
"360850040001008"	"87"	"30"	"18"	"0"	"34"	"5"	Staten Island
"360850059001008"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850070001008"	"110"	"101"	"0"	"0"	"0"	"9"	Staten Island
"360850081001008"	"91"	"35"	"33"	"0"	"2"	"21"	Staten Island
"360850112021008"	"44"	"44"	"0"	"0"	"0"	"0"	Staten Island
"360850114011008"	"31"	"29"	"0"	"0"	"1"	"1"	Staten Island
"360850122001008"	"50"	"50"	"0"	"0"	"0"	"0"	Staten Island
"360850128061008"	"35"	"35"	"0"	"0"	"0"	"0"	Staten Island
"360850132011008"	"104"	"91"	"1"	"0"	"8"	"4"	Staten Island
"360850132041008"	"45"	"45"	"0"	"0"	"0"	"0"	Staten Island
"360850138001008"	"33"	"33"	"0"	"0"	"0"	"0"	Staten Island
"360850170071008"	"94"	"76"	"0"	"0"	"13"	"5"	Staten Island
"360850170081008"	"130"	"121"	"0"	"0"	"7"	"2"	Staten Island
"360850170091008"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850247001008"	"108"	"68"	"20"	"0"	"9"	"11"	Staten Island
"360850277041008"	"138"	"107"	"1"	"1"	"21"	"8"	Staten Island
"360850277061008"	"110"	"75"	"1"	"1"	"32"	"1"	Staten Island
"360850008001009"	"40"	"23"	"10"	"0"	"5"	"2"	Staten Island
"360850036001009"	"293"	"189"	"8"	"5"	"55"	"36"	Staten Island
"360850040001009"	"56"	"23"	"10"	"0"	"22"	"1"	Staten Island
"360850059001009"	"241"	"235"	"0"	"0"	"0"	"6"	Staten Island
"360850077001009"	"113"	"16"	"50"	"0"	"1"	"46"	Staten Island
"360850114011009"	"191"	"154"	"5"	"0"	"25"	"7"	Staten Island
"360850114021009"	"96"	"96"	"0"	"0"	"0"	"0"	Staten Island
"360850128041009"	"81"	"78"	"0"	"0"	"3"	"0"	Staten Island
"360850146081009"	"36"	"36"	"0"	"0"	"0"	"0"	Staten Island
"360850170051009"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850170091009"	"85"	"77"	"0"	"0"	"6"	"2"	Staten Island
"360850170121009"	"73"	"66"	"0"	"0"	"7"	"0"	Staten Island
"360850189011009"	"81"	"75"	"0"	"0"	"3"	"3"	Staten Island
"360850208011009"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850244021009"	"23"	"22"	"0"	"0"	"0"	"1"	Staten Island
"360850247001009"	"242"	"124"	"18"	"0"	"45"	"55"	Staten Island
"360850248001009"	"112"	"79"	"0"	"0"	"0"	"33"	Staten Island
"360850251001009"	"256"	"214"	"6"	"1"	"12"	"23"	Staten Island
"360850273021009"	"154"	"140"	"0"	"0"	"11"	"3"	Staten Island
"360850064001010"	"64"	"57"	"0"	"0"	"7"	"0"	Staten Island
"360850112021010"	"68"	"60"	"0"	"0"	"0"	"8"	Staten Island
"360850114021010"	"123"	"113"	"5"	"0"	"5"	"0"	Staten Island
"360850128041010"	"162"	"135"	"4"	"0"	"23"	"0"	Staten Island
"360850134001010"	"98"	"86"	"0"	"0"	"7"	"5"	Staten Island
"360850146081010"	"71"	"60"	"0"	"0"	"11"	"0"	Staten Island
"360850170051010"	"23"	"22"	"0"	"0"	"1"	"0"	Staten Island
"360850170121010"	"69"	"60"	"0"	"0"	"6"	"3"	Staten Island
"360850177001010"	"64"	"45"	"0"	"0"	"18"	"1"	Staten Island
"360850189011010"	"63"	"57"	"1"	"0"	"2"	"3"	Staten Island
"360850239001010"	"102"	"47"	"14"	"1"	"0"	"40"	Staten Island
"360850291041010"	"162"	"120"	"0"	"0"	"31"	"11"	Staten Island
"360850006001011"	"229"	"189"	"13"	"0"	"13"	"14"	Staten Island
"360850036001011"	"56"	"29"	"5"	"1"	"8"	"13"	Staten Island
"360850074001011"	"85"	"59"	"2"	"0"	"21"	"3"	Staten Island
"360850096021011"	"96"	"79"	"0"	"0"	"1"	"16"	Staten Island
"360850112021011"	"57"	"49"	"0"	"0"	"3"	"5"	Staten Island
"360850114021011"	"82"	"62"	"0"	"0"	"14"	"6"	Staten Island
"360850122001011"	"83"	"83"	"0"	"0"	"0"	"0"	Staten Island
"360850146041011"	"20"	"20"	"0"	"0"	"0"	"0"	Staten Island
"360850151001011"	"72"	"59"	"0"	"0"	"4"	"9"	Staten Island
"360850156031011"	"92"	"86"	"0"	"0"	"6"	"0"	Staten Island
"360850170051011"	"123"	"121"	"0"	"0"	"0"	"2"	Staten Island
"360850170091011"	"113"	"111"	"0"	"0"	"0"	"2"	Staten Island
"360850170111011"	"121"	"118"	"0"	"0"	"1"	"2"	Staten Island
"360850177001011"	"27"	"12"	"2"	"0"	"13"	"0"	Staten Island
"360850189011011"	"119"	"80"	"1"	"0"	"30"	"8"	Staten Island
"360850197001011"	"32"	"27"	"0"	"0"	"4"	"1"	Staten Island
"360850251001011"	"49"	"46"	"0"	"0"	"3"	"0"	Staten Island
"360850323001011"	"209"	"42"	"134"	"0"	"10"	"23"	Staten Island
"360850067001012"	"68"	"54"	"9"	"0"	"3"	"2"	Staten Island
"360850096021012"	"98"	"93"	"0"	"0"	"0"	"5"	Staten Island
"360850112011012"	"71"	"52"	"0"	"0"	"18"	"1"	Staten Island
"360850114011012"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850146041012"	"24"	"22"	"0"	"0"	"0"	"2"	Staten Island
"360850169011012"	"43"	"27"	"5"	"0"	"8"	"3"	Staten Island
"360850170051012"	"21"	"21"	"0"	"0"	"0"	"0"	Staten Island
"360850173001012"	"23"	"9"	"2"	"0"	"0"	"12"	Staten Island
"360850189011012"	"101"	"76"	"13"	"0"	"7"	"5"	Staten Island
"360850201001012"	"74"	"53"	"2"	"0"	"6"	"13"	Staten Island
"360850208011012"	"33"	"33"	"0"	"0"	"0"	"0"	Staten Island
"360850251001012"	"84"	"78"	"1"	"0"	"0"	"5"	Staten Island
"360850122001013"	"77"	"77"	"0"	"0"	"0"	"0"	Staten Island
"360850169011013"	"6"	"6"	"0"	"0"	"0"	"0"	Staten Island
"360850170051013"	"49"	"46"	"0"	"0"	"3"	"0"	Staten Island
"360850170081013"	"89"	"87"	"0"	"0"	"2"	"0"	Staten Island
"360850173001013"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850189011013"	"80"	"77"	"3"	"0"	"0"	"0"	Staten Island
"360850231001013"	"286"	"113"	"74"	"0"	"23"	"76"	Staten Island
"360850244011013"	"86"	"86"	"0"	"0"	"0"	"0"	Staten Island
"360850040001014"	"35"	"30"	"4"	"0"	"0"	"1"	Staten Island
"360850047001014"	"56"	"24"	"12"	"0"	"0"	"20"	Staten Island
"360850070001014"	"54"	"43"	"0"	"0"	"6"	"5"	Staten Island
"360850146041014"	"81"	"71"	"0"	"0"	"10"	"0"	Staten Island
"360850170121014"	"93"	"84"	"0"	"0"	"7"	"2"	Staten Island
"360850189021014"	"119"	"74"	"8"	"0"	"32"	"5"	Staten Island
"360850047001015"	"144"	"61"	"45"	"4"	"21"	"13"	Staten Island
"360850096011015"	"61"	"61"	"0"	"0"	"0"	"0"	Staten Island
"360850112021015"	"109"	"100"	"0"	"0"	"9"	"0"	Staten Island
"360850128041015"	"52"	"50"	"2"	"0"	"0"	"0"	Staten Island
"360850128061015"	"47"	"47"	"0"	"0"	"0"	"0"	Staten Island
"360850134001015"	"38"	"29"	"0"	"0"	"0"	"9"	Staten Island
"360850176001015"	"53"	"50"	"0"	"0"	"1"	"2"	Staten Island
"360850177001015"	"1"	"1"	"0"	"0"	"0"	"0"	Staten Island
"360850189021015"	"139"	"103"	"6"	"0"	"21"	"9"	Staten Island
"360850208041015"	"46"	"46"	"0"	"0"	"0"	"0"	Staten Island
"360850251001015"	"32"	"27"	"1"	"0"	"1"	"3"	Staten Island
"360850008001016"	"72"	"49"	"1"	"0"	"14"	"8"	Staten Island
"360850040001016"	"92"	"56"	"6"	"0"	"15"	"15"	Staten Island
"360850189011016"	"29"	"20"	"4"	"0"	"0"	"5"	Staten Island
