INCIDENT_D	BORONAME	NUM_VICTIM	PRIMARY_MO	ID	WEAPON	LIGHT_DARK	YEAR
2008/10/31	Manhattan	"1"		"221"	knife	L	"2008"
2008/07/04	Brooklyn	"1"		"223"	gun	L	"2008"
2008/07/05	Brooklyn	"1"		"224"	gun	D	"2008"
2008/07/05	Brooklyn	"1"		"225"	gun	D	"2008"
2008/07/05	Brooklyn	"1"		"226"	knife	D	"2008"
2008/07/06	Brooklyn	"1"		"227"	gun	D	"2008"
2008/07/06	Brooklyn	"1"		"228"	knife	L	"2008"
2008/07/07	Manhattan	"1"		"229"	knife	D	"2008"
2008/07/08	Staten Island	"1"		"230"	gun	D	"2008"
2008/07/10	Queens	"1"		"231"	gun	L	"2008"
2008/07/10	Queens	"1"		"233"	knife	L	"2008"
2008/07/04	Queens	"1"		"234"		D	"2008"
2008/07/12	Brooklyn	"1"		"238"	gun	L	"2008"
2008/07/12	Queens	"1"		"239"	gun	L	"2008"
2008/07/13	Brooklyn	"1"		"241"	gun	D	"2008"
2008/07/15	Brooklyn	"1"		"245"	blunt_instrument	D	"2008"
2008/07/16	Brooklyn	"2"		"246"	gun	L	"2008"
2008/07/17	Brooklyn	"1"		"247"	gun	D	"2008"
2008/07/17	Brooklyn	"1"		"249"	gun	L	"2008"
2008/07/17	Staten Island	"1"		"250"	knife	L	"2008"
2008/07/18	Brooklyn	"1"		"253"	gun	L	"2008"
2008/07/21	Brooklyn	"1"		"254"	gun	D	"2008"
2008/07/12	Brooklyn	"1"		"255"	gun	D	"2008"
2008/07/24	Brooklyn	"1"		"256"	gun	D	"2008"
2008/07/26	Queens	"1"		"257"	gun	D	"2008"
2008/07/26	Manhattan	"1"		"258"	knife	D	"2008"
2008/07/27	Queens	"1"		"259"	gun	D	"2008"
2008/07/27	Brooklyn	"1"		"260"	gun	D	"2008"
2008/07/28	Manhattan	"1"		"262"		L	"2008"
2008/07/30	Staten Island	"1"		"263"	gun	D	"2008"
2008/07/30	Brooklyn	"1"		"264"		L	"2008"
2008/07/25	Brooklyn	"1"		"265"	gun	D	"2008"
2008/07/30	Brooklyn	"1"		"266"	knife	D	"2008"
2008/08/03	Brooklyn	"1"		"268"	gun	D	"2008"
2008/08/03	Brooklyn	"1"		"269"	gun	L	"2008"
2008/08/05	Manhattan	"1"		"270"	gun	D	"2008"
2008/08/07	Queens	"1"		"272"		D	"2008"
2008/08/11	Queens	"1"		"276"	knife	L	"2008"
2008/08/11	Brooklyn	"1"		"277"	knife	D	"2008"
2008/08/12	Brooklyn	"1"		"278"	gun	L	"2008"
2008/08/13	Brooklyn	"1"		"279"	knife	D	"2008"
2008/08/13	Queens	"1"		"280"	gun	D	"2008"
2008/08/13	Brooklyn	"1"		"281"		D	"2008"
2008/08/15	Manhattan	"1"		"284"	gun	D	"2008"
2008/08/16	Brooklyn	"1"		"286"	gun	D	"2008"
2008/08/16	Queens	"1"		"287"	gun	L	"2008"
2008/08/16	Manhattan	"1"		"288"	knife	D	"2008"
2008/08/20	Brooklyn	"1"		"290"	gun	D	"2008"
2008/08/21	Brooklyn	"1"		"291"		L	"2008"
2008/08/23	Brooklyn	"1"		"293"	gun	D	"2008"
2008/08/23	Queens	"1"		"294"	knife	D	"2008"
2008/08/28	Brooklyn	"1"		"296"	gun	D	"2008"
2008/08/29	Brooklyn	"1"		"297"		D	"2008"
2008/08/30	Queens	"1"		"298"	gun	D	"2008"
2008/08/31	Brooklyn	"1"		"299"	knife	L	"2008"
2008/08/31	Brooklyn	"1"		"301"	gun	L	"2008"
2008/08/31	Manhattan	"1"		"302"		L	"2008"
2008/09/01	Brooklyn	"1"		"303"	gun	D	"2008"
2008/09/03	Brooklyn	"1"		"304"	knife	L	"2008"
2008/09/03	Queens	"1"		"305"		D	"2008"
2008/09/03	Brooklyn	"1"		"306"	gun	D	"2008"
2008/09/03	Queens	"1"		"307"	gun	D	"2008"
2008/09/04	Queens	"1"		"309"	knife	D	"2008"
2008/09/05	Manhattan	"1"		"310"	gun	D	"2008"
2008/09/05	Brooklyn	"1"		"311"	gun	D	"2008"
2008/09/06	Brooklyn	"1"		"312"	gun	D	"2008"
2008/09/06	Queens	"1"		"313"		D	"2008"
2008/09/05	Brooklyn	"1"		"315"		D	"2008"
2008/11/09	Queens	"1"		"316"	knife	L	"2008"
2008/09/13	Queens	"1"		"317"	gun	D	"2008"
2008/09/14	Brooklyn	"1"		"318"	gun	D	"2008"
2008/09/14	Brooklyn	"1"		"319"	knife	D	"2008"
2008/09/14	Brooklyn	"1"		"320"	gun	L	"2008"
2008/09/14	Manhattan	"1"		"322"	gun	L	"2008"
2008/09/19	Queens	"1"		"324"	blunt_instrument	D	"2008"
2008/09/20	Brooklyn	"1"		"325"	knife	D	"2008"
2008/09/21	Manhattan	"1"		"326"	knife	D	"2008"
