ID	NAME	ONEWAY	TYPE
"389"	Washington Ave		secondary
"390"	E 17th St		residential
"391"	Brighton 4th Walk		residential
"392"	E 16th St		residential
"393"			secondary
"394"			residential
"395"	Manhattan Ave		residential
"396"	Wilson St		residential
"397"	E 6th St		residential
"398"	Brighton 4th Rd		residential
"399"	Brighton 4th Ln		residential
"400"	Pacific St	yes	residential
"401"	E 78th St		residential
"402"	97th St Transverse		residential
"403"			residential
"404"	E 13th St		residential
"405"			motorway_link
"406"	St Paul Pl		residential
"407"	W 120th St		residential
"408"	Riverside Dr		residential
"409"	E 13th St		residential
"410"	Steuben St		residential
"411"	W 103rd St		residential
"412"	Locust Ave		residential
"413"			secondary
"414"	Riverside Dr		residential
"415"	Keap St		residential
"416"	Dekoven Ct		residential
"417"	W 101st St		residential
"418"	Brighton 4 Pl		residential
"419"	Hubbard St		residential
"420"	Brighton 5th St		residential
"421"	Chestnut Ave		residential
"422"	E 79th St		residential
"423"	Grand Ave		residential
"424"	E Lake Dr		residential
"425"	N 5th St		residential
"426"	Williamsburg Pl		residential
"427"	Elm Ave		residential
"428"			motorway_link
"429"	E 17th St		residential
"430"	Brighton 5th Ct		residential
"431"	Waldorf Ct		residential
"432"	Cambridge Pl		residential
"433"	N 4th St		residential
"434"	Lefferts Pl		residential
"435"	E 18th St		residential
"436"	Brighton 5th Walk		residential
"437"	Wellington Ct		residential
"438"	W 102nd St		residential
"439"	Brighton 5th Ln		residential
"440"	Brighton 6th St		residential
"441"	1st Ct		residential
"442"	Grand Ave	yes	residential
"443"	E 80th St		residential
"444"	E 14th St		residential
"445"	Hooper St		residential
"446"			secondary
"447"	S Lake Dr	yes	residential
"448"	Banner Ave		residential
"449"	Ocean Ave	yes	residential
"450"	W 122nd St		residential
"451"	Henry Hudson Pky		motorway
"452"	85th St Transverse		residential
"453"	86th Transverse Rd		residential
"454"	Brighton 5th Pl		residential
"455"	E 10th St		residential
"456"	Tennis Ct		residential
"457"	Prospect Pl		residential
"458"	I-278		motorway
"459"	Williamsburg St W		residential
"460"	Grand Ave		residential
"461"			residential
"462"	Lincoln Rd		residential
"463"	Newkirk Plz		residential
"464"	Steuben St		residential
"465"	E 81st St		residential
"466"	Lincoln Pl		residential
"467"	Driggs Ave		residential
"468"	Desmond Ct		residential
"469"	Emerson Pl		residential
"470"			motorway_link
"471"			secondary
"472"	Sutton Pl S		residential
"473"	Brighton 6th Ct		residential
"474"	St Pauls Ct		residential
"475"	Putnam Ave	yes	residential
"476"	Dunne Ct		residential
"477"	Guider Ave		residential
"478"	St Marks Ave		residential
"479"	Leonora Ct		residential
"480"	Hewes St		residential
"481"	N 6th St		residential
"482"	Irvington Pl		residential
"483"	Brighton 7th St		residential
"484"	Empire Blvd	no	residential
"485"	Lexington Ave		residential
"486"	Steuben St		residential
"487"	Hutchinson Ct		residential
"488"	Gerald Ct		residential
"489"	Dekoven Ct		residential
"490"	E 15th St		residential
"491"	E 82nd St		residential
"492"	Riverside Dr		residential
"493"	President St		residential
"494"	Kathleen Ct		residential
"495"	E 19th St		residential
"496"	Homecrest Ct		residential
"497"	Classon Ave		residential
"498"	Guider Ave		residential
"499"	Wallabout St		residential
"500"	Waldorf Ct		residential
"501"	Carroll St		residential
"502"	Dean St		residential
"503"			motorway_link
"504"	E 19th St	yes	residential
"505"	Manor Ct		residential
"506"	Riverside Dr		residential
"507"	Wellington Ct		residential
"508"	Lee Ave		residential
"509"	Ocean Ave		residential
"510"	E 83rd St		residential
"511"	N 7th St		residential
"512"	Beekman Pl	no	residential
"513"	Crown St		residential
"514"	Montauk Ct		residential
"515"	Brighton 7th Ct		residential
"516"	N 10th St		residential
"517"	Penn St		residential
"518"	Pacific St		residential
"519"	Grand Ave		residential
"520"	Putnam Ave		residential
"521"	Union St		residential
"522"	Brighton 7th Walk		residential
"523"	Montgomery St		residential
"524"	W 121st St		residential
"525"	W 115th St		residential
"526"	Brighton 7th Ln		residential
"527"	Chester Ct	no	residential
"528"	N 8th St		residential
"529"			motorway_link
"530"	Brighton 8th St		residential
"531"	Lefferts Ave		residential
"532"	S 5th Pl		residential
"533"	Bridlepath	no	living_street
"534"	N 11th St		residential
"535"	E 16th St		residential
"536"	Roebling St		residential
"537"	E 84th St		residential
"538"	Downing St		residential
"539"	Quincy St		residential
"540"	Roebling St		residential
"541"	Westbury Ct	no	residential
"542"	55th Ave		residential
"543"	Rodney St		residential
"544"	Williamsburg St E		residential
"545"	Brighton 8th Ct		residential
"546"	E 16th St		residential
"547"	Sullivan Pl		residential
"548"	Morningside Dr		residential
"549"	Taaffe Pl		residential
"550"	West 125th St		residential
"551"	Rutledge St		residential
"552"	Chestnut Ave		residential
"553"	12th Ave		residential
"554"	S 5th Pl		residential
"555"	Brighton 8th St		residential
"556"	Little Nassau St		residential
"557"	Parkside Ct	no	residential
"558"	W 125th St		secondary
"559"	E 85th St		residential
"560"	Flatbush Ave	no	residential
"561"	Franklin Ave		residential
"562"	Sterling St		residential
"563"	Brighton 8th Ln		residential
"564"			unclassified
"565"	E 21st St		residential
"566"	N 9th St		residential
"567"	La Salle St		residential
"568"	Riverside Dr W		residential
"569"	Sutton Pl		residential
"570"	Maple St		residential
"571"	Keap St		residential
"572"	Midwood St		residential
"573"	Tiemann Pl		residential
"574"	W 123rd St		residential
"575"	Rutland Rd	yes	residential
"576"	Eagle St		residential
"577"	West 131st St		residential
"578"	Brighton 8th Pl		residential
"579"	Fenimore St	yes	residential
"580"	E 86th St		residential
"581"	Sterling Pl		residential
"582"	S 5th St		residential
"583"			motorway_link
"584"	Green St		residential
"585"	W 130th St		residential
"586"	Roebling St		residential
"587"			motorway_link
"588"	Hewes St		residential
"589"	Hawthorne St	yes	residential
"590"	Irving Pl		residential
"591"	Sutton Sq		residential
"592"	India St		residential
"593"	E 17th St	no	residential
"594"	West 132nd St		residential
"595"	E 15th St		residential
"596"	Regent Pl		residential
"597"	W 118th St		residential
"598"	2nd St		residential
"599"	Winthrop St	yes	residential
"600"	Homecrest Ave		residential
"601"	West St		residential
"602"			pedestrian
"603"	Commercial St		residential
"604"	Dupont St		residential
"605"	E 17th St	yes	residential
"606"	Havemeyer St		residential
"607"	E 87th St		residential
"608"	Brighton 10th Ct		residential
"609"	Brighton 10th Path		residential
"610"	Brighton 10th Ter		residential
"611"	Parkside Ave		residential
"612"	Quay St		residential
"613"	Brighton 10th Ln		residential
"614"	Heyward St		residential
"615"			pedestrian
"616"	W 131st St		residential
"617"	Kenmore Ter		residential
"618"	Brighton 10th St		residential
"619"	Mc Keever Pl		residential
"620"	Clarkson Ave		residential
"621"	E 11th St		residential
"622"			residential
"623"	Albemarle Ter		residential
"624"	Hooper St		residential
"625"	West 133rd St		residential
"626"			motorway_link
"627"	W 110th St		residential
"628"	W 119th St		residential
"629"			pedestrian
"630"	Oceana Dr W		residential
"631"			motorway_link
"632"	Central Park Gr Hill		residential
"633"	Milton St		residential
"634"	W 129th St		residential
"635"	Riverview Ter		residential
"636"	E 88th St		residential
"637"	Lenox Rd		residential
"638"	Boardwalk		residential
"639"	E 16th St		residential
"640"	W 132nd St		residential
"641"	54th Ave		residential
"642"	Central Park Driveway		residential
"643"	Williams Ct		residential
"644"	Fillmore Pl		residential
"645"			residential
"646"	York Ave		residential
"647"			residential
"648"	Gilmore Ct		residential
"649"	E 18th St	no	residential
"650"	W 111th St		residential
"651"	Monroe St		residential
"652"	Center Blvd		residential
"653"	East Rd		residential
"654"	Oceana Dr W		residential
"655"	Blake Ct		residential
"656"	West 134th St		residential
"657"	Lawn Ct		residential
"658"	Brighton 11th St		residential
"659"	50th Ave		residential
"660"	E 89th St		residential
"661"	E 18th St	yes	residential
"662"	Fay Ct		residential
"663"	Cedar St		residential
"664"	Madison St		residential
"665"	Jenks Ct		residential
"666"	Martense St		residential
"667"	Keap St		residential
"668"	Borden Ave		residential
"669"	Oceana Dr W		residential
"670"	W 133rd St		residential
"671"	Desmond Ct		residential
"672"	Borden Ave		residential
"673"	Sheepshead Bay Rd		residential
"674"	Calyer St		residential
"675"	Doone Ct		residential
"676"	Havemeyer St		residential
"677"	W 112th St		residential
"678"	Gray Ct		residential
"679"	W 135th St		residential
"680"	Franklin St		residential
"681"	51st Ave		residential
"683"	Road 3		residential
"684"	West Rd		residential
"685"	E 90th St		residential
"686"	Fred Douglass Cir		residential
"687"	Cathedral Pky		residential
"688"	Frederick Douglass Cir		residential
"689"	Clay St		residential
"690"	49th Ave		residential
"691"	Marcy Ave		residential
"692"			living_street
"693"	Grand St Ext		residential
"694"	12th Ave		residential
"695"	Bay Ave		residential
"696"	Central Park Gr Hill		residential
"697"	Borinquen St		residential
"698"			motorway
"699"	Marcy Ave		residential
"700"	Marginal St		motorway
"701"	Holt Ct		residential
"702"	Morningside Dr		residential
"703"			residential
"704"	Snyder Ave		residential
"705"	W 115th St		residential
"706"	Morningside Ave		residential
"707"	W 113th St		residential
"708"	Oceana Ter		residential
"709"	W 114th St		residential
"710"	Central Park  N		residential
"711"			pedestrian
"712"	8th Ave		residential
"713"	Elm Ave		residential
"714"	W 116th St		residential
"715"	E 61 St		residential
"716"	Albemarle Rd		residential
"717"	N 13th St		residential
"718"	Oceana Dr E		residential
"719"	Farragut Rd		residential
"720"	47th Rd		residential
"721"	Tilden Ave		residential
"722"	E 91st St		residential
"723"	Martense Ct		residential
"724"	E 19th St	yes	residential
"725"	Duryea Pl		residential
"726"	Rodney St		residential
"727"	Beverly Rd		residential
"728"	Skillman St		residential
"729"	S 4th St		residential
"730"	Frederick Douglass Cir		residential
"731"	Hope St		residential
"732"	Ide Ct		residential
"733"	48th Ave		residential
"734"	Old Broadway		residential
"735"	Brighton 12th St		residential
"736"	Homecrest Ave		residential
"737"	Lynch St		residential
"738"	48th Ave		residential
"739"	N 14th St		residential
"740"	Franklin St		residential
