OBJECTID	ID	NAME	ALT_NAME	CROSS_ST	LONG_NAME	LABEL	BOROUGH	NGHBHD	ROUTES	TRANSFERS	COLOR	EXPRESS	CLOSED
57	154.0000000000	Middletown Rd		Westchester Ave	Middletown Rd (6) Bronx	Middletown Rd (6)	Bronx		"6"	"6"	GREEN		
58	65.0000000000	Morris Park		Esplanade	Morris Park (5) Bronx	Morris Park (5)	Bronx		"5"	"5"	GREEN		
59	148.0000000000	Sound View Ave	Morrison Ave	Westchester Ave	Sound View Ave / Morrison Ave (6) Bronx	Sound View Ave / Morrison Ave (6)	Bronx		"6"	"6"	GREEN		
60	137.0000000000	Mosholu Pky		Jerome Ave	Mosholu Pky (4) Bronx	Mosholu Pky (4)	Bronx		"4"	"4"	GREEN		
61	130.0000000000	Mt Eden Ave		Jerome Ave	Mt Eden Ave (4) Bronx	Mt Eden Ave (4)	Bronx		"4"	"4"	GREEN		
62	63.0000000000	Nereid Ave	238th St	White Plains Rd	"Nereid Ave / 238th St (2,5) Bronx"	"Nereid Ave / 238th St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
63	156.0000000000	Pelham Bay Park		Bruckner Exy	Pelham Bay Park (6) Bronx	Pelham Bay Park (6)	Bronx		"6"	"6"	GREEN		
64	66.0000000000	Pelham Pky		Williamsbridge Rd	Pelham Pky (5) Bronx	Pelham Pky (5)	Bronx		"5"	"5"	GREEN		
65	56.0000000000	Pelham Pky		White Plains Rd	"Pelham Pky (2,5) Bronx"	"Pelham Pky (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
66	48.0000000000	Prospect Ave		Westchester Ave	"Prospect Ave (2,5) Bronx"	"Prospect Ave (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
67	50.0000000000	Simpson St		Westchester Ave	"Simpson St (2,5) Bronx"	"Simpson St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
68	149.0000000000	St Lawrence Ave		Westchester Ave	St Lawrence Ave (6) Bronx	St Lawrence Ave (6)	Bronx		"6"	"6"	GREEN		
69	211.0000000000	Tremont Ave		Grand Concourse	"Tremont Ave (B,D) Bronx"	"Tremont Ave (B,D)"	Bronx		"B,D"	"B,D"	ORANGE	express	
70	153.0000000000	Westchester Sq	E Tremont Ave	Westchester Ave	Westchester Sq / E Tremont Ave (6) Bronx	Westchester Sq / E Tremont Ave (6)	Bronx		"6"	"6"	GREEN		
71	146.0000000000	Whitlock Ave		Westchester Ave	Whitlock Ave (6) Bronx	Whitlock Ave (6)	Bronx		"6"	"6"	GREEN		
72	138.0000000000	Woodlawn		Jerome Ave	Woodlawn (4) Bronx	Woodlawn (4)	Bronx		"4"	"4"	GREEN		
73	152.0000000000	Zerega Ave		Westchester Ave	Zerega Ave (6) Bronx	Zerega Ave (6)	Bronx		"6"	"6"	GREEN		
74	344.0000000000	15th St	Prospect Park	Prospect Park West	15th St / Prospect Park (F) Brooklyn	15th St / Prospect Park (F)	Brooklyn		F	F	ORANGE		
75	422.0000000000	18th Ave		New Utrecht Ave	"18th Ave (D,M) Brooklyn"	"18th Ave (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
76	430.0000000000	18th Ave		64th St	18th Ave (N) Brooklyn	18th Ave (N)	Brooklyn		N	N	YELLOW		
77	348.0000000000	18th Ave		McDonald Ave	18th Ave (F) Brooklyn	18th Ave (F)	Brooklyn		F	F	ORANGE		
78	431.0000000000	20th Ave		64th St	20th Ave (N) Brooklyn	20th Ave (N)	Brooklyn		N	N	YELLOW		
