OBJECTID,Admin_type,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
"72",Prefecture-level city,Zhaoyang District,Zhaotong,昭通市,CN053160,Yunnan Province,云南省,CN053,China,中国,CN
"73",Prefecture-level city,Cuiping District,Yibin,宜宾市,CN051190,Sichuan Province,四川省,CN051,China,中国,CN
"74",Prefecture-level city,Shizhong District,Leshan,乐山市,CN051080,Sichuan Province,四川省,CN051,China,中国,CN
"75",Prefecture-level city,Ziliujing District,Zigong,自贡市,CN051200,Sichuan Province,四川省,CN051,China,中国,CN
"76",Prefecture-level city,Shizhong District,Neijiang,内江市,CN051140,Sichuan Province,四川省,CN051,China,中国,CN
"77",Prefecture-level city,Huichuan District,Zunyi,遵义市,CN052090,Guizhou Province,贵州省,CN052,China,中国,CN
"78",Prefecture-level city,Tongchuan District,Dazhou,达州市,CN051030,Sichuan Province,四川省,CN051,China,中国,CN
"79",Prefecture-level city,Chuanshan District,Suining,遂宁市,CN051170,Sichuan Province,四川省,CN051,China,中国,CN
"80",Prefecture-level city,Guang'an District,Guang'an,广安市,CN051060,Sichuan Province,四川省,CN051,China,中国,CN
"81",Prefecture-level city,Jiangyang District,Luzhou,泸州市,CN051100,Sichuan Province,四川省,CN051,China,中国,CN
"82",Prefecture-level city,Yanjiang District,Ziyang,资阳市,CN051210,Sichuan Province,四川省,CN051,China,中国,CN
"83",Prefecture-level city,Yucheng District,Ya'an,雅安市,CN051180,Sichuan Province,四川省,CN051,China,中国,CN
"84",Prefecture-level city,Dongpo District,Meishan,眉山市,CN051110,Sichuan Province,四川省,CN051,China,中国,CN
"85",Autonomous prefecture,Kangding City,Garzê Tibetan Autonomous Prefecture,甘孜藏族自治州,CN051050,Sichuan Province,四川省,CN051,China,中国,CN
"86",Autonomous prefecture,"Dawu Town, Maqên County",Golog Tibetan Autonomous Prefecture,果洛藏族自治州,CN063010,Qinghai Province,青海省,CN063,China,中国,CN
"87",Autonomous prefecture,"Qabqa Town, Gonghe County",Hainan Tibetan Autonomous Prefecture,海南藏族自治州,CN063040,Qinghai Province,青海省,CN063,China,中国,CN
"88",Autonomous prefecture,"Rongwo Town, Tongren County",Huangnan Tibetan Autonomous Prefecture,黄南藏族自治州,CN063060,Qinghai Province,青海省,CN063,China,中国,CN
"89",Autonomous prefecture,Hezuo City,Gannan Tibetan Autonomous Prefecture,甘南藏族自治州,CN062030,Gansu province,甘肃省,CN062,China,中国,CN
"90",Prefecture-level city,Wudu District,Longnan,陇南市,CN062090,Gansu province,甘肃省,CN062,China,中国,CN
"91",Prefecture-level city,Qinzhou District,Tianshui,天水市,CN062120,Gansu province,甘肃省,CN062,China,中国,CN
"92",Prefecture-level city,Anding District,Dingxi,定西市,CN062020,Gansu province,甘肃省,CN062,China,中国,CN
"93",Autonomous prefecture,Linxia City,Linxia Hui Autonomous Prefecture,临夏回族自治州,CN062080,Gansu province,甘肃省,CN062,China,中国,CN
"94",Prefecture-level city,Chengzhong District,Xining,西宁市,CN063070,Qinghai Province,青海省,CN063,China,中国,CN
"95",Prefecture-level city,Ledu District,Haidong,海东市,CN063030,Qinghai Province,青海省,CN063,China,中国,CN
"96",Autonomous prefecture,"Sanjiaocheng Town, Haiyan County",Haibei Tibetan Autonomous Prefecture,海北藏族自治州,CN063020,Qinghai Province,青海省,CN063,China,中国,CN
"97",Prefecture-level city,Jinchuan District,Jinchang,金昌市,CN062050,Gansu province,甘肃省,CN062,China,中国,CN
"98",Prefecture-level city,Suzhou District,Jiuquan,酒泉市,CN062060,Gansu province,甘肃省,CN062,China,中国,CN
"99",Autonomous prefecture,Delingha,Haixi Mongolian Autonomous Prefecture,海西蒙古族自治州,CN063050,Qinghai Province,青海省,CN063,China,中国,CN
"100",Autonomous prefecture,Korla City,Bayingolin Mongolia Autonomous Prefecture,巴音郭楞蒙古自治州,CN065040,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
"101",Prefecture-level city,Kumul City,Hami,哈密市,CN065070,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
"102",Prefecture-level city,Gaochang District,Turpan,吐鲁番市,CN065150,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
"103",Prefecture-level city,Tianshan District,Ürümqi,乌鲁木齐市,CN065010,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
"104",Prefecture,Altay City,Altay Prefecture,阿勒泰地区,CN065030,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
"105",Autonomous prefecture,Bole (Börtala) City,Bortala Mongol Autonomous Prefecture,博尔塔拉蒙古自治州,CN065050,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
"106",Sub-province-level prefecture,Yining (Ĝulja) City,Ili Kazak Autonomous Prefecture,伊犁哈萨克自治州[5],CN065090,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
